Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2013-12-24,1,57,µg/mc
"Parco S. Chiara",PM10,2013-12-24,2,56,µg/mc
"Parco S. Chiara",PM10,2013-12-24,3,55,µg/mc
"Parco S. Chiara",PM10,2013-12-24,4,49,µg/mc
"Parco S. Chiara",PM10,2013-12-24,5,43,µg/mc
"Parco S. Chiara",PM10,2013-12-24,6,43,µg/mc
"Parco S. Chiara",PM10,2013-12-24,7,48,µg/mc
"Parco S. Chiara",PM10,2013-12-24,8,54,µg/mc
"Parco S. Chiara",PM10,2013-12-24,9,56,µg/mc
"Parco S. Chiara",PM10,2013-12-24,10,51,µg/mc
"Parco S. Chiara",PM10,2013-12-24,11,41,µg/mc
"Parco S. Chiara",PM10,2013-12-24,12,42,µg/mc
"Parco S. Chiara",PM10,2013-12-24,13,38,µg/mc
"Parco S. Chiara",PM10,2013-12-24,14,34,µg/mc
"Parco S. Chiara",PM10,2013-12-24,15,29,µg/mc
"Parco S. Chiara",PM10,2013-12-24,16,30,µg/mc
"Parco S. Chiara",PM10,2013-12-24,17,30,µg/mc
"Parco S. Chiara",PM10,2013-12-24,18,29,µg/mc
"Parco S. Chiara",PM10,2013-12-24,19,29,µg/mc
"Parco S. Chiara",PM10,2013-12-24,20,27,µg/mc
"Parco S. Chiara",PM10,2013-12-24,21,29,µg/mc
"Parco S. Chiara",PM10,2013-12-24,22,27,µg/mc
"Parco S. Chiara",PM10,2013-12-24,23,23,µg/mc
"Parco S. Chiara",PM10,2013-12-24,24,19,µg/mc
"Parco S. Chiara",PM10,2013-12-25,1,19,µg/mc
"Parco S. Chiara",PM10,2013-12-25,2,18,µg/mc
"Parco S. Chiara",PM10,2013-12-25,3,15,µg/mc
"Parco S. Chiara",PM10,2013-12-25,4,12,µg/mc
"Parco S. Chiara",PM10,2013-12-25,5,12,µg/mc
"Parco S. Chiara",PM10,2013-12-25,6,14,µg/mc
"Parco S. Chiara",PM10,2013-12-25,7,10,µg/mc
"Parco S. Chiara",PM10,2013-12-25,8,7,µg/mc
"Parco S. Chiara",PM10,2013-12-25,9,10,µg/mc
"Parco S. Chiara",PM10,2013-12-25,10,19,µg/mc
"Parco S. Chiara",PM10,2013-12-25,11,17,µg/mc
"Parco S. Chiara",PM10,2013-12-25,12,13,µg/mc
"Parco S. Chiara",PM10,2013-12-25,13,13,µg/mc
"Parco S. Chiara",PM10,2013-12-25,14,13,µg/mc
"Parco S. Chiara",PM10,2013-12-25,15,10,µg/mc
"Parco S. Chiara",PM10,2013-12-25,16,10,µg/mc
"Parco S. Chiara",PM10,2013-12-25,17,9,µg/mc
"Parco S. Chiara",PM10,2013-12-25,18,10,µg/mc
"Parco S. Chiara",PM10,2013-12-25,19,8,µg/mc
"Parco S. Chiara",PM10,2013-12-25,20,7,µg/mc
"Parco S. Chiara",PM10,2013-12-25,21,13,µg/mc
"Parco S. Chiara",PM10,2013-12-25,22,7,µg/mc
"Parco S. Chiara",PM10,2013-12-25,23,5,µg/mc
"Parco S. Chiara",PM10,2013-12-25,24,4,µg/mc
"Parco S. Chiara",PM10,2013-12-26,1,2,µg/mc
"Parco S. Chiara",PM10,2013-12-26,2,1,µg/mc
"Parco S. Chiara",PM10,2013-12-26,3,0,µg/mc
"Parco S. Chiara",PM10,2013-12-26,4,0,µg/mc
"Parco S. Chiara",PM10,2013-12-26,5,0,µg/mc
"Parco S. Chiara",PM10,2013-12-26,6,0,µg/mc
"Parco S. Chiara",PM10,2013-12-26,7,0,µg/mc
"Parco S. Chiara",PM10,2013-12-26,8,0,µg/mc
"Parco S. Chiara",PM10,2013-12-26,9,1,µg/mc
"Parco S. Chiara",PM10,2013-12-26,10,1,µg/mc
"Parco S. Chiara",PM10,2013-12-26,11,2,µg/mc
"Parco S. Chiara",PM10,2013-12-26,12,1,µg/mc
"Parco S. Chiara",PM10,2013-12-26,13,3,µg/mc
"Parco S. Chiara",PM10,2013-12-26,14,4,µg/mc
"Parco S. Chiara",PM10,2013-12-26,15,5,µg/mc
"Parco S. Chiara",PM10,2013-12-26,16,4,µg/mc
"Parco S. Chiara",PM10,2013-12-26,17,4,µg/mc
"Parco S. Chiara",PM10,2013-12-26,18,4,µg/mc
"Parco S. Chiara",PM10,2013-12-26,19,4,µg/mc
"Parco S. Chiara",PM10,2013-12-26,20,5,µg/mc
"Parco S. Chiara",PM10,2013-12-26,21,9,µg/mc
"Parco S. Chiara",PM10,2013-12-26,22,11,µg/mc
"Parco S. Chiara",PM10,2013-12-26,23,6,µg/mc
"Parco S. Chiara",PM10,2013-12-26,24,7,µg/mc
"Parco S. Chiara",PM10,2013-12-27,1,6,µg/mc
"Parco S. Chiara",PM10,2013-12-27,2,5,µg/mc
"Parco S. Chiara",PM10,2013-12-27,3,4,µg/mc
"Parco S. Chiara",PM10,2013-12-27,4,4,µg/mc
"Parco S. Chiara",PM10,2013-12-27,5,3,µg/mc
"Parco S. Chiara",PM10,2013-12-27,6,2,µg/mc
"Parco S. Chiara",PM10,2013-12-27,7,2,µg/mc
"Parco S. Chiara",PM10,2013-12-27,8,4,µg/mc
"Parco S. Chiara",PM10,2013-12-27,9,9,µg/mc
"Parco S. Chiara",PM10,2013-12-27,10,13,µg/mc
"Parco S. Chiara",PM10,2013-12-27,11,6,µg/mc
"Parco S. Chiara",PM10,2013-12-27,12,5,µg/mc
"Parco S. Chiara",PM10,2013-12-27,13,5,µg/mc
"Parco S. Chiara",PM10,2013-12-27,14,5,µg/mc
"Parco S. Chiara",PM10,2013-12-27,15,5,µg/mc
"Parco S. Chiara",PM10,2013-12-27,16,9,µg/mc
"Parco S. Chiara",PM10,2013-12-27,17,15,µg/mc
"Parco S. Chiara",PM10,2013-12-27,18,30,µg/mc
"Parco S. Chiara",PM10,2013-12-27,19,36,µg/mc
"Parco S. Chiara",PM10,2013-12-27,20,37,µg/mc
"Parco S. Chiara",PM10,2013-12-27,21,41,µg/mc
"Parco S. Chiara",PM10,2013-12-27,22,37,µg/mc
"Parco S. Chiara",PM10,2013-12-27,23,35,µg/mc
"Parco S. Chiara",PM10,2013-12-27,24,28,µg/mc
"Parco S. Chiara",PM10,2013-12-28,1,27,µg/mc
"Parco S. Chiara",PM10,2013-12-28,2,25,µg/mc
"Parco S. Chiara",PM10,2013-12-28,3,21,µg/mc
"Parco S. Chiara",PM10,2013-12-28,4,18,µg/mc
"Parco S. Chiara",PM10,2013-12-28,5,18,µg/mc
"Parco S. Chiara",PM10,2013-12-28,6,15,µg/mc
"Parco S. Chiara",PM10,2013-12-28,7,16,µg/mc
"Parco S. Chiara",PM10,2013-12-28,8,15,µg/mc
"Parco S. Chiara",PM10,2013-12-28,9,15,µg/mc
"Parco S. Chiara",PM10,2013-12-28,10,19,µg/mc
"Parco S. Chiara",PM10,2013-12-28,11,22,µg/mc
"Parco S. Chiara",PM10,2013-12-28,12,25,µg/mc
"Parco S. Chiara",PM10,2013-12-28,13,28,µg/mc
"Parco S. Chiara",PM10,2013-12-28,14,24,µg/mc
"Parco S. Chiara",PM10,2013-12-28,15,14,µg/mc
"Parco S. Chiara",PM10,2013-12-28,16,16,µg/mc
"Parco S. Chiara",PM10,2013-12-28,17,21,µg/mc
"Parco S. Chiara",PM10,2013-12-28,18,29,µg/mc
"Parco S. Chiara",PM10,2013-12-28,19,30,µg/mc
"Parco S. Chiara",PM10,2013-12-28,20,26,µg/mc
"Parco S. Chiara",PM10,2013-12-28,21,30,µg/mc
"Parco S. Chiara",PM10,2013-12-28,22,33,µg/mc
"Parco S. Chiara",PM10,2013-12-28,23,30,µg/mc
"Parco S. Chiara",PM10,2013-12-28,24,30,µg/mc
"Parco S. Chiara",PM10,2013-12-29,1,33,µg/mc
"Parco S. Chiara",PM10,2013-12-29,2,37,µg/mc
"Parco S. Chiara",PM10,2013-12-29,3,33,µg/mc
"Parco S. Chiara",PM10,2013-12-29,4,26,µg/mc
"Parco S. Chiara",PM10,2013-12-29,5,22,µg/mc
"Parco S. Chiara",PM10,2013-12-29,6,20,µg/mc
"Parco S. Chiara",PM10,2013-12-29,7,19,µg/mc
"Parco S. Chiara",PM10,2013-12-29,8,18,µg/mc
"Parco S. Chiara",PM10,2013-12-29,9,16,µg/mc
"Parco S. Chiara",PM10,2013-12-29,10,17,µg/mc
"Parco S. Chiara",PM10,2013-12-29,11,17,µg/mc
"Parco S. Chiara",PM10,2013-12-29,12,18,µg/mc
"Parco S. Chiara",PM10,2013-12-29,13,15,µg/mc
"Parco S. Chiara",PM10,2013-12-29,14,15,µg/mc
"Parco S. Chiara",PM10,2013-12-29,15,14,µg/mc
"Parco S. Chiara",PM10,2013-12-29,16,15,µg/mc
"Parco S. Chiara",PM10,2013-12-29,17,13,µg/mc
"Parco S. Chiara",PM10,2013-12-29,18,15,µg/mc
"Parco S. Chiara",PM10,2013-12-29,19,25,µg/mc
"Parco S. Chiara",PM10,2013-12-29,20,27,µg/mc
"Parco S. Chiara",PM10,2013-12-29,21,19,µg/mc
"Parco S. Chiara",PM10,2013-12-29,22,17,µg/mc
"Parco S. Chiara",PM10,2013-12-29,23,14,µg/mc
"Parco S. Chiara",PM10,2013-12-29,24,11,µg/mc
"Parco S. Chiara",PM10,2013-12-30,1,10,µg/mc
"Parco S. Chiara",PM10,2013-12-30,2,8,µg/mc
"Parco S. Chiara",PM10,2013-12-30,3,6,µg/mc
"Parco S. Chiara",PM10,2013-12-30,4,5,µg/mc
"Parco S. Chiara",PM10,2013-12-30,5,4,µg/mc
"Parco S. Chiara",PM10,2013-12-30,6,3,µg/mc
"Parco S. Chiara",PM10,2013-12-30,7,4,µg/mc
"Parco S. Chiara",PM10,2013-12-30,8,4,µg/mc
"Parco S. Chiara",PM10,2013-12-30,9,10,µg/mc
"Parco S. Chiara",PM10,2013-12-30,10,6,µg/mc
"Parco S. Chiara",PM10,2013-12-30,11,4,µg/mc
"Parco S. Chiara",PM10,2013-12-30,12,6,µg/mc
"Parco S. Chiara",PM10,2013-12-30,13,7,µg/mc
"Parco S. Chiara",PM10,2013-12-30,14,5,µg/mc
"Parco S. Chiara",PM10,2013-12-30,15,3,µg/mc
"Parco S. Chiara",PM10,2013-12-30,16,5,µg/mc
"Parco S. Chiara",PM10,2013-12-30,17,12,µg/mc
"Parco S. Chiara",PM10,2013-12-30,18,24,µg/mc
"Parco S. Chiara",PM10,2013-12-30,19,29,µg/mc
"Parco S. Chiara",PM10,2013-12-30,20,31,µg/mc
"Parco S. Chiara",PM10,2013-12-30,21,29,µg/mc
"Parco S. Chiara",PM10,2013-12-30,22,32,µg/mc
"Parco S. Chiara",PM10,2013-12-30,23,24,µg/mc
"Parco S. Chiara",PM10,2013-12-30,24,22,µg/mc
"Parco S. Chiara",PM10,2013-12-31,1,20,µg/mc
"Parco S. Chiara",PM10,2013-12-31,2,19,µg/mc
"Parco S. Chiara",PM10,2013-12-31,3,15,µg/mc
"Parco S. Chiara",PM10,2013-12-31,4,16,µg/mc
"Parco S. Chiara",PM10,2013-12-31,5,13,µg/mc
"Parco S. Chiara",PM10,2013-12-31,6,10,µg/mc
"Parco S. Chiara",PM10,2013-12-31,7,11,µg/mc
"Parco S. Chiara",PM10,2013-12-31,8,13,µg/mc
"Parco S. Chiara",PM10,2013-12-31,9,18,µg/mc
"Parco S. Chiara",PM10,2013-12-31,10,12,µg/mc
"Parco S. Chiara",PM10,2013-12-31,11,8,µg/mc
"Parco S. Chiara",PM10,2013-12-31,12,7,µg/mc
"Parco S. Chiara",PM10,2013-12-31,13,7,µg/mc
"Parco S. Chiara",PM10,2013-12-31,14,5,µg/mc
"Parco S. Chiara",PM10,2013-12-31,15,4,µg/mc
"Parco S. Chiara",PM10,2013-12-31,16,6,µg/mc
"Parco S. Chiara",PM10,2013-12-31,17,12,µg/mc
"Parco S. Chiara",PM10,2013-12-31,18,30,µg/mc
"Parco S. Chiara",PM10,2013-12-31,19,30,µg/mc
"Parco S. Chiara",PM10,2013-12-31,20,32,µg/mc
"Parco S. Chiara",PM10,2013-12-31,21,29,µg/mc
"Parco S. Chiara",PM10,2013-12-31,22,32,µg/mc
"Parco S. Chiara",PM10,2013-12-31,23,33,µg/mc
"Parco S. Chiara",PM10,2013-12-31,24,22,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,1,14,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,2,14,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,3,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,4,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,5,12,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,6,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,7,14,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,8,15,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,9,17,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,10,16,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,11,15,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,12,11,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,13,12,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,14,12,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,15,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,16,15,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,17,18,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,18,24,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,19,30,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,20,24,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,21,28,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,22,31,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,23,32,µg/mc
"Parco S. Chiara",PM2.5,2013-11-01,24,31,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,1,26,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,2,33,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,3,35,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,4,29,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,5,29,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,6,24,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,7,27,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,8,19,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,9,26,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,10,29,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,11,29,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,12,29,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,13,27,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,14,21,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,15,17,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,16,15,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,17,14,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,18,15,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,19,18,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,20,18,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,21,17,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,22,18,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,23,18,µg/mc
"Parco S. Chiara",PM2.5,2013-11-02,24,19,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,1,19,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,2,21,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,3,25,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,4,31,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,5,30,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,6,19,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,7,12,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,8,9,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,9,7,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,10,6,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,11,6,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,12,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,13,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,14,2,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,15,2,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,16,6,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,17,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,18,2,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,19,1,µg/mc
"Parco S. Chiara",PM2.5,2013-11-03,20,1,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,2,2,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,3,2,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,4,2,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,5,2,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,6,2,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,7,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,8,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,9,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,10,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,11,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,12,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,13,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,14,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,15,6,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,16,7,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,17,10,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,18,12,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,19,11,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,20,11,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,21,9,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,22,8,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,23,7,µg/mc
"Parco S. Chiara",PM2.5,2013-11-04,24,8,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,1,9,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,2,9,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,3,10,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,4,10,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,5,10,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,6,10,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,7,10,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,8,11,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,9,11,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,10,11,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,11,7,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,12,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,13,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,14,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,15,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,16,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,17,7,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,18,12,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,19,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,20,14,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,21,19,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,22,15,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,23,14,µg/mc
"Parco S. Chiara",PM2.5,2013-11-05,24,15,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,1,16,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,2,15,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,3,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,4,11,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,5,9,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,6,8,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,7,7,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,8,8,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,9,8,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,10,8,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,11,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,12,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,13,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,14,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,15,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,16,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,17,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,18,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,19,11,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,20,15,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,21,22,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,22,16,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,23,12,µg/mc
"Parco S. Chiara",PM2.5,2013-11-06,24,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,1,10,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,2,10,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,3,9,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,4,9,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,5,8,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,6,8,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,7,8,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,8,10,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,9,12,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,10,8,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,11,6,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,12,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,13,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,14,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,15,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,16,7,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,17,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,18,20,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,19,24,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,20,28,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,21,29,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,22,31,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,23,29,µg/mc
"Parco S. Chiara",PM2.5,2013-11-07,24,18,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,1,16,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,2,15,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,3,14,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,4,14,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,5,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,6,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,7,12,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,8,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,9,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,10,14,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,11,14,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,12,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,13,11,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,14,12,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,15,13,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,16,12,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,17,14,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,18,15,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,19,18,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,20,18,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,21,21,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,22,22,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,23,21,µg/mc
"Parco S. Chiara",PM2.5,2013-11-08,24,21,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,1,25,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,2,22,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,3,20,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,4,20,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,5,19,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,6,19,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,7,18,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,8,16,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,9,15,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,10,16,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,11,16,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,12,16,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,13,12,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,14,6,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,15,6,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,16,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,17,8,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,18,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,19,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,20,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,21,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,22,2,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,23,2,µg/mc
"Parco S. Chiara",PM2.5,2013-11-09,24,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,1,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,2,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,3,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,4,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,5,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,6,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,7,3,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,8,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,9,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,10,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,11,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,12,6,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,13,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,14,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,15,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,16,4,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,17,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,18,5,µg/mc
"Parco S. Chiara",PM2.5,2013-11-10,19,7,µg/mc
