Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Borgo Valsugana",PM10,2013-12-24,9,56,µg/mc
"Borgo Valsugana",PM10,2013-12-24,10,64,µg/mc
"Borgo Valsugana",PM10,2013-12-24,11,57,µg/mc
"Borgo Valsugana",PM10,2013-12-24,12,54,µg/mc
"Borgo Valsugana",PM10,2013-12-24,13,49,µg/mc
"Borgo Valsugana",PM10,2013-12-24,14,51,µg/mc
"Borgo Valsugana",PM10,2013-12-24,15,63,µg/mc
"Borgo Valsugana",PM10,2013-12-24,16,52,µg/mc
"Borgo Valsugana",PM10,2013-12-24,17,63,µg/mc
"Borgo Valsugana",PM10,2013-12-24,18,64,µg/mc
"Borgo Valsugana",PM10,2013-12-24,19,69,µg/mc
"Borgo Valsugana",PM10,2013-12-24,20,65,µg/mc
"Borgo Valsugana",PM10,2013-12-24,21,65,µg/mc
"Borgo Valsugana",PM10,2013-12-24,22,57,µg/mc
"Borgo Valsugana",PM10,2013-12-24,23,57,µg/mc
"Borgo Valsugana",PM10,2013-12-24,24,42,µg/mc
"Borgo Valsugana",PM10,2013-12-25,1,45,µg/mc
"Borgo Valsugana",PM10,2013-12-25,2,38,µg/mc
"Borgo Valsugana",PM10,2013-12-25,3,33,µg/mc
"Borgo Valsugana",PM10,2013-12-25,4,28,µg/mc
"Borgo Valsugana",PM10,2013-12-25,5,25,µg/mc
"Borgo Valsugana",PM10,2013-12-25,6,25,µg/mc
"Borgo Valsugana",PM10,2013-12-25,7,20,µg/mc
"Borgo Valsugana",PM10,2013-12-25,8,22,µg/mc
"Borgo Valsugana",PM10,2013-12-25,9,27,µg/mc
"Borgo Valsugana",PM10,2013-12-25,10,27,µg/mc
"Borgo Valsugana",PM10,2013-12-25,11,29,µg/mc
"Borgo Valsugana",PM10,2013-12-25,12,36,µg/mc
"Borgo Valsugana",PM10,2013-12-25,13,30,µg/mc
"Borgo Valsugana",PM10,2013-12-25,14,28,µg/mc
"Borgo Valsugana",PM10,2013-12-25,15,19,µg/mc
"Borgo Valsugana",PM10,2013-12-25,16,13,µg/mc
"Borgo Valsugana",PM10,2013-12-25,17,13,µg/mc
"Borgo Valsugana",PM10,2013-12-25,18,12,µg/mc
"Borgo Valsugana",PM10,2013-12-25,19,10,µg/mc
"Borgo Valsugana",PM10,2013-12-25,20,9,µg/mc
"Borgo Valsugana",PM10,2013-12-25,21,8,µg/mc
"Borgo Valsugana",PM10,2013-12-25,22,8,µg/mc
"Borgo Valsugana",PM10,2013-12-25,23,7,µg/mc
"Borgo Valsugana",PM10,2013-12-25,24,8,µg/mc
"Borgo Valsugana",PM10,2013-12-26,1,7,µg/mc
"Borgo Valsugana",PM10,2013-12-26,2,7,µg/mc
"Borgo Valsugana",PM10,2013-12-26,3,6,µg/mc
"Borgo Valsugana",PM10,2013-12-26,4,6,µg/mc
"Borgo Valsugana",PM10,2013-12-26,5,5,µg/mc
"Borgo Valsugana",PM10,2013-12-26,6,5,µg/mc
"Borgo Valsugana",PM10,2013-12-26,7,5,µg/mc
"Borgo Valsugana",PM10,2013-12-26,8,6,µg/mc
"Borgo Valsugana",PM10,2013-12-26,9,5,µg/mc
"Borgo Valsugana",PM10,2013-12-26,10,5,µg/mc
"Borgo Valsugana",PM10,2013-12-26,11,5,µg/mc
"Borgo Valsugana",PM10,2013-12-26,12,5,µg/mc
"Borgo Valsugana",PM10,2013-12-26,13,5,µg/mc
"Borgo Valsugana",PM10,2013-12-26,14,6,µg/mc
"Borgo Valsugana",PM10,2013-12-26,15,6,µg/mc
"Borgo Valsugana",PM10,2013-12-26,16,6,µg/mc
"Borgo Valsugana",PM10,2013-12-26,17,7,µg/mc
"Borgo Valsugana",PM10,2013-12-26,18,10,µg/mc
"Borgo Valsugana",PM10,2013-12-26,19,12,µg/mc
"Borgo Valsugana",PM10,2013-12-26,20,16,µg/mc
"Borgo Valsugana",PM10,2013-12-26,21,19,µg/mc
"Borgo Valsugana",PM10,2013-12-26,22,20,µg/mc
"Borgo Valsugana",PM10,2013-12-26,23,20,µg/mc
"Borgo Valsugana",PM10,2013-12-26,24,24,µg/mc
"Borgo Valsugana",PM10,2013-12-27,1,22,µg/mc
"Borgo Valsugana",PM10,2013-12-27,2,21,µg/mc
"Borgo Valsugana",PM10,2013-12-27,3,19,µg/mc
"Borgo Valsugana",PM10,2013-12-27,4,15,µg/mc
"Borgo Valsugana",PM10,2013-12-27,5,14,µg/mc
"Borgo Valsugana",PM10,2013-12-27,6,13,µg/mc
"Borgo Valsugana",PM10,2013-12-27,7,14,µg/mc
"Borgo Valsugana",PM10,2013-12-27,8,16,µg/mc
"Borgo Valsugana",PM10,2013-12-27,9,16,µg/mc
"Borgo Valsugana",PM10,2013-12-27,10,20,µg/mc
"Borgo Valsugana",PM10,2013-12-27,11,22,µg/mc
"Borgo Valsugana",PM10,2013-12-27,12,22,µg/mc
"Borgo Valsugana",PM10,2013-12-27,13,19,µg/mc
"Borgo Valsugana",PM10,2013-12-27,14,18,µg/mc
"Borgo Valsugana",PM10,2013-12-27,15,20,µg/mc
"Borgo Valsugana",PM10,2013-12-27,16,22,µg/mc
"Borgo Valsugana",PM10,2013-12-27,17,25,µg/mc
"Borgo Valsugana",PM10,2013-12-27,18,22,µg/mc
"Borgo Valsugana",PM10,2013-12-27,19,32,µg/mc
